source_id,best_strategy,status,extracted_today,published_today,api_records_today,discovered_today,crawl_errors_today,frontier_touch_today,intake_sum
data_aseanstats_org,html_then_trafilatura,active_candidate,0,0,0,0,2,1,0
data_gov,sitemap_then_article_extract,active,0,0,0,0,0,0,0
dw_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
ec_europa_eu,sitemap_then_article_extract,active,0,0,0,0,1,1,0
ecb_europa_eu,sitemap_then_article_extract,active,0,0,0,0,0,0,0
economictimes_indiatimes_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
eea_europa_eu,sitemap_then_article_extract,active,0,0,0,0,0,0,0
egypttoday_com,playwright_fallback,active_candidate,0,0,0,0,2,1,0
eib_org,sitemap_then_article_extract,active,0,0,0,0,0,0,0
eltiempo_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
eluniversal_com_mx,sitemap_then_article_extract,active,0,0,0,0,2,2,0
ema_europa_eu,html_then_trafilatura,active_candidate,0,0,0,0,49,34,0
en_www_inegi_org_mx,sitemap_then_article_extract,active,0,0,0,0,0,0,0
eng_stat_gov_tw,sitemap_then_article_extract,active,0,0,0,0,0,0,0
english_hani_co_kr,rss_then_article_extract,active,0,0,0,0,0,0,0
english_kyodonews_net,sitemap_then_article_extract,active,0,0,0,0,0,0,0
english_mofcom_gov_cn,html_then_trafilatura,active_candidate,0,0,0,0,38,28,0
eurotopics_net,rss_then_article_extract,active,0,0,0,0,0,0,0
fca_org_uk,rss_then_article_extract,active,0,0,0,0,1,1,0
focustaiwan_tw,sitemap_then_article_extract,active,0,0,0,0,0,0,0
folha_uol_com_br,sitemap_then_article_extract,active,0,0,0,0,0,0,0
fsc_gov_tw,sitemap_then_article_extract,active,0,0,0,0,0,0,0
ft_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
gdeltproject_org,api_first,active,0,0,0,0,0,0,0
github_com,api_first,active,0,0,0,0,0,0,0
global_krx_co_kr,playwright_fallback,active_candidate,0,0,0,0,2,1,0
globaltimes_cn,sitemap_then_article_extract,active,0,0,0,0,0,0,0
gov_sg,sitemap_then_article_extract,active,0,0,0,0,0,0,0
gso_gov_vn,manual_review,review,0,0,0,0,0,0,0
gulfnews_com,rss_then_article_extract,active,0,0,0,0,17,17,0
imf_org,html_then_trafilatura,active_candidate,0,0,0,0,17,12,0
independent_co_uk,rss_then_article_extract,active,0,0,0,0,38,38,0
indianexpress_com,rss_then_article_extract,active,0,0,0,0,26,26,0
interfax_com,manual_review,review,0,0,0,0,0,0,0
japantimes_co_jp,playwright_fallback,active_candidate,0,0,0,0,2,1,0
jpx_co_jp,sitemap_then_article_extract,active,0,0,0,0,0,0,0
knbs_or_ke,manual_review,review,0,0,0,0,0,0,0
koreatimes_co_kr,sitemap_then_article_extract,active,0,0,0,0,0,0,0
kostat_go_kr,sitemap_then_article_extract,active,0,0,0,0,0,0,0
kyivindependent_com,rss_then_article_extract,active,0,0,0,0,12,12,0
lanacion_com_ar,rss_then_article_extract,active,0,0,0,0,26,26,0
mas_gov_sg,html_then_trafilatura,active_candidate,0,0,0,0,10,5,0
meduza_io,html_then_trafilatura,active_candidate,0,0,0,0,21,14,0
meti_go_jp,manual_review,review,0,0,0,0,0,0,0
