id,source_id,url,title,published_at,content,content_length,content_hash,language,crawl_strategy_used,raw_path,extracted_at,quality_score
eecdedef-6d32-4f8f-801f-d0bf39fc1b5d,bbc_com,https://www.bbc.com/arabic/multimedia/2009/08/090826_gn_argentina_drugs_tc2,المحكمة العليا في الارجنتين تبيح تدخين الماريجوانا - BBC News عربي,2009-08-26,"المحكمة العليا في الارجنتين تبيح تدخين الماريجوانا
Published
سمحت المحكمة العليا فى الارجنتين بحيازة المخدر المعروف الماريجوانا بشرط أن يكون كمية صغيرة للاستخدام الخاص وليس للاتجار .
أثار القرار الكثير من الجدل بين مؤيدي القرار وبين معارضيه من الجهات الدينينة واقارب المرضي ومن يتوقعون مشكلات جمة فى المستقبل .",310,ac72eb1e6cceebfd706449c7a9c76d8b61cefe4cd81320c35ce8f1dce63b5008,,sitemap_then_article_extract,D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\bbc_com_607aeb03649b9d51_20260517T073549Z.html,2026-05-17 11:35:49.134090,9.0
ae3811eb-7900-49f1-9fa3-5e4d60ef7e7d,bbc_com,https://www.bbc.com/urdu/pakistan/2009/04/090414_baloch_killing_fz,آبادکاروں پر حملے جاری - BBC News اردو,2009-04-14,"آبادکاروں پر حملے جاری
- مصنف, عزیز اللہ خان
- عہدہ, بی بی سی اردو ڈاٹ کام، کوئٹہ
- وقت اشاعت
بلوچستان میں تین راہنماؤں کے قتل کے بعد دیگر صوبوں سے تعلق رکھنے والے افراد پر حملوں میں اضافہ ہوا ہے اور منگل کو کوئٹہ مستونگ پنجگور اور رکھنی میں ’ٹارگٹ کلنگ‘ اور دستی بم کے حملے میں چار افراد ہلاک اور دس افراد زخمی ہوئے ہیں۔
کوئٹہ میں پولیس کے مطابق نامعلوم افراد نے کلی ابراہیم زئی میں ایک مکان پر دستی بم پھینکا جس سے سات افراد زخمی ہوئے گئے۔ پولیس کے مطابق تمام زخمیوں کی حالت خطرے سے باہر ہے۔
کوئٹہ میں بجلی فراہم کرنے والی کمپنی کے مستونگ شہر میں تعینات لائن سپرینٹنڈنٹ جاوید گجر اپنے بیٹے کے ساتھ گاڑی میں جا رہے تھے کہ اس دوران نامعلوم افراد نے ان پر فائرنگ کردی ہے جس سے جاوید گجر ہلاک اور ان کے بیٹے زخمی ہوئے گئے۔
مستونگ سے مقامی صحافی عطااللہ نے بتایا ہے کہ پولیس نے آبادکاروں کے مکانات کے باہر اہلکار تعینات کیے ہیں لیکن ٹارگٹ کلنگ کے واقعات پھر بھی سامنے آ رہے ہیں۔
پنجگور کے پولیس افسر نے عبدالحئی عامر نے بتایا ہے کہ پنجگور میں ملتان سے تعلق رکھنے والے فیاض احمد گاڑیوں کی مرمت کرتے ہیں اور ہڑتال کے دوران کسی نے انھیں اپنی گاڑی کی مرمت کے لیے بلایا۔
فیاض احمد جب اپنے گیراج کے پاس پہنچے تو اس دوران پندرہ سے بیس افراد وہاں پہنچے اور فیاض پر تیل چھڑک کر آگ لگا دی ہے جس سے وہ زخمی ہوگئے۔ پولیس کے مطابق فیاض احمد کو ہاتھ اور پیٹھ پر جلنے کے زخم آئے ہیں۔
پنجگور میں پولیس نے دیگر صوبوں سے تعلق رکھنے والے افراد کو حفاظت فراہم کر رکھی ہے تاکہ حالیہ فسادات میں وہ محفوظ رہیں۔ پنجگور تربت گوادر اور دیگر علاقوں میں دیگر صوبوں خاص طور پر پنجاب سے تعلق رکھنے والے افراد بڑی تعداد میں آباد تھے لیکن ایسی اطلاعات ہیں کہ تین راہنماؤں کے قتل کے بعد بڑی تعداد میں لوگ اپنے اپنے صوبوں کو چلے گئے ہیں۔ اس وقت پنجگور میں صرف ساٹھ کے لگ بھگ افراد رہ گئے ہیں جن میں خواتین شامل ہیں۔ پولیس کے مطابق ان افراد کو تحفظ فراہم کیا گیا ہے۔
ادھر بارکھان میں رکھنی کے قریب نامعلوم افراد نے کوئلے سے لدے ٹرک پر حملہ کیا ہے جس سے ڈرائیور محمد اشرف اور کنڈیکٹر محمد رمضان ہلاک ہوئے گئے۔ پولیس کے مطابق ہلاک ہونے والے افراد کا تعلق کوئٹہ سے ہے۔
End of سب سے زیادہ پڑھی جانے والی
مقامی صحافی امانت حسین نے بتایا ہے کہ حملہ آوروں نے دو ٹرکوں پر حملہ کیا ہے لیکن فائرنگ سے ایک ہی ٹرک کے دو افراد ہلاک ہوئے ہیں اور دوسرے ٹرک کا عملہ محفوظ رہا ہے۔ اس سے پہلے آج صبح کوئٹہ کے سریاب روڈ پر نامعلوم افراد کی فائرنگ سے ایک پولیس اہلکار ہلاک اور ایک راہگیر زخمی ہوا ہے۔
بلوچستان میں تین بلوچ راہنماؤں کے قتل کے بعد ٹارگٹ کلنگ کے واقعات میں اب تک سولہ افراد ہلاک ہو چکے ہیں۔ عوامی نیشنل پارٹی کے رہنما اورنگزیب کاسی نے ان حملوں کو بلوچستان میں بھائی چارے کی فضا خراب کرنے کی ایک سازش قرار دیا ہے۔",2468,15323988c2c60a74ff576f956ad0dcd451fc445a2640c7bdbfbb5bc7970b749a,,sitemap_then_article_extract,D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\bbc_com_7c314551a400a7cb_20260517T073551Z.html,2026-05-17 11:35:51.555763,10.0
81a55041-5a55-4c7f-b960-44728cf67df1,un_org,https://www.un.org/en,"United Nations | Peace, dignity and equality <BR>on a healthy planet",2026-05-14,"The Goals can improve life for all of us. Cleaner air. Safer cities. Equality. Better jobs. These issues matter to everyone. But progress is too slow. We have to act, urgently, to accelerate changes that add up to better lives on a healthier planet. Find new inspiring actions on the app and at un.org/actnow.
Families, Inequalities and Child Wellbeing
Families are central to social progress, yet many face income insecurity, limited caregiving support and unequal access to essential services. Without adequate support, children risk long-term impacts on their health, education and wellbeing. This year's International Day of Families (15 May) spotlights gaps in income, healthcare, digital access and essential services, while promoting integrated social protection systems to strengthen family resilience and expand equal opportunities.",841,d542ed6cf1dc69d19a68a1ce4b5c32b8ca4795b9d97246368711e91f935f6c34,,rss_then_article_extract,D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\un_org_2f1c5203d60e2899_20260517T073552Z.html,2026-05-17 11:35:54.548372,10.0
