"id","source_id","url","title","published_at","content_length","content_hash","language","crawl_strategy_used","raw_path","extracted_at","quality_score"
"7cb2c1d1-c547-4bd3-ba8e-eb459c9b74e3","france24_com","https://www.france24.com/en/europe/20260517-ukraine-launches-more-than-500-drones-at-russia-in-deadly-overnight-attack-authorities-say","Ukraine launches more than 500 drones at Russia in deadly overnight attack, authorities say","2026-05-17","3286","69427ab6b57ff28dbe644a34ae18bef90aea54f013fd5afbbfb52317bd80ba4e","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\france24_com_c06bef6a15ecbf62_20260517T085013Z.html","2026-05-17 12:50:13.526529","10.0"
"6f2437ab-96f0-4167-9a37-838d969ae61a","aljazeera_com","https://www.aljazeera.com/video/newsfeed/2026/5/17/algerias-usm-alger-beat-egypts-zamalek-to-win-caf-cup?traffic_source=rss","Algeria’s USM Alger beat Egypt’s Zamalek to win CAF Cup","2026-05-17","343","63651dd995a802a38759421d3c688f11ec093019bb99960548729aee545051dd","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_29bd7f41601e2d4d_20260517T085013Z.html","2026-05-17 12:50:13.969199","9.0"
"9b9f5719-f8d6-427b-beac-f8103d59253b","aljazeera_com","https://www.aljazeera.com/sports/2026/5/17/ronda-rousey-vs-gina-carano-fight-rousey-wins-with-a-17-second-submission?traffic_source=rss","Ronda Rousey retires again after 17-second submission defeat of Gina Carano","2026-05-17","3420","9278ece99ce707b32a0be0ec9b51c7e7fd57579ba0339c69df5de4869f69f07c","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_eb366c3c60a18a5c_20260517T085016Z.html","2026-05-17 12:50:16.615699","10.0"
"64fa0bfb-21e3-417e-9207-4832d78557a2","france24_com","https://www.france24.com/en/asia-pacific/20260517-the-week-in-pictures-trump-in-china-cannes-festival-philippine-senate-shooting","The week in pictures: Trump in China, Cannes festival and Philippines Senate shooting","2026-05-17","453","feaf66faf391e3ac23e3901f028da4495254b22761c6524366b823bf992086d7","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\france24_com_809bee438530ba4a_20260517T085017Z.html","2026-05-17 12:50:17.634843","9.0"
"fad715b7-d283-4907-b7c8-4a26f5502d3e","aljazeera_com","https://www.aljazeera.com/video/newsfeed/2026/5/17/timmy-the-rescued-humpback-whale-confirmed-dead?traffic_source=rss","‘Timmy’ the rescued humpback whale confirmed dead","2026-05-17","365","07c9b28521adf91f69ba739ef38cbe0ae802e07f361576649b164b250a0c300e","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_f44cb47e8a6ca5d7_20260517T085018Z.html","2026-05-17 12:50:18.200939","9.0"
"7e3e2387-0d36-4848-bc9a-a4e6ea55262f","france24_com","https://www.france24.com/en/tv-shows/sports/20260517-manchester-city-see-off-chelsea-in-fa-cup-final-and-keep-treble-dream-alive","Sports - Manchester City see off Chelsea in FA Cup final and keep treble dream alive","2026-05-17","1575","d66979a6c3b4ebb1fc8d3eb925089be8a639229a3f11dba5acf71186e745e7a4","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\france24_com_ee0e473310d64136_20260517T085019Z.html","2026-05-17 12:50:19.133679","10.0"
"f9ab6386-9050-47c6-8622-da0bd18d5516","aljazeera_com","https://www.aljazeera.com/sports/2026/5/17/fifa-holds-positive-talks-with-iranian-football-officials-on-world-cup?traffic_source=rss","World Cup 2026: FIFA holds ‘positive’ talks with Iranian football officials","2026-05-17","3111","78b16240f152f0ff80bce138acca74ae5dcd8c920cc4d8de23a0b51547d109d3","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_b9d71deb9536f6af_20260517T085019Z.html","2026-05-17 12:50:19.766054","10.0"
"8a017e3a-c5e8-4278-997c-e8806151a8cb","aljazeera_com","https://www.aljazeera.com/news/2026/5/17/who-declares-ebola-outbreak-in-dr-congo-uganda-a-global-health-emergency?traffic_source=rss","WHO declares Ebola outbreak in DR Congo, Uganda a global health emergency","2026-05-17","2884","539e8e19b1f62e19de7dbd6b763ff9677e52a9057b60120730ce035ae713c1e7","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_e0f7d960eef7c1bb_20260517T085022Z.html","2026-05-17 12:50:22.188560","10.0"
"8b1a0e9a-d9ea-46de-9a6a-ddb2de697ca8","aljazeera_com","https://www.aljazeera.com/news/2026/5/17/iran-war-day-79-tehran-to-unveil-hormuz-toll-plan-israel-bombs-lebanon?traffic_source=rss","Iran war day 79: Israel’s relentless bombardment of Lebanon continues","2026-05-17","3484","bfd4cd36139cd31ec15677a231aab457920c3aa2d56e31ad837e630236c8812f","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_5b027de3cfbc6107_20260517T085024Z.html","2026-05-17 12:50:24.173301","10.0"
"7f3f9348-5814-4ebf-9257-57ea1063ee75","france24_com","https://www.france24.com/en/health/20260517-who-declares-global-health-emergency-over-ebola-outbreak-in-congo-and-uganda","WHO declares global health emergency over Ebola outbreak in Congo and Uganda","2026-05-17","4712","b02e8ebf8cf2c14e64dc5451a9c399b89d9f76306ebfc2e4ec418937fd522953","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\france24_com_4056ca8c380eedc0_20260517T085025Z.html","2026-05-17 12:50:25.693382","10.0"
"241b2cb4-a98a-46ee-97c6-06da6709105a","aljazeera_com","https://www.aljazeera.com/news/2026/5/17/could-a-leadership-change-undo-israels-international-isolation?traffic_source=rss","Could a leadership change undo Israel’s international isolation?","2026-05-17","6734","7d14eea1681ffbecbbd41a88145304aea42f061847bde93fbf299a86f7399a26","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_5673118ad1a1b8de_20260517T085026Z.html","2026-05-17 12:50:26.146120","10.0"
"20115012-c469-4823-bf91-be5cc018dd05","aljazeera_com","https://www.aljazeera.com/news/2026/5/17/indias-tata-and-dutch-giant-asml-sign-semiconductor-deal-during-modi-visit?traffic_source=rss","India’s Tata and Dutch giant ASML sign semiconductor deal during Modi visit","2026-05-17","2942","53adc30737ae8d9fe1e6317d40ad912d35b784f542e93dd919c478675624ecf6","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_d92ca8776b0d22fe_20260517T085028Z.html","2026-05-17 12:50:28.266075","10.0"
"4cc12d57-7f45-408b-a61b-d7c07654265d","aljazeera_com","https://www.aljazeera.com/features/2026/5/17/modest-fashions-global?traffic_source=rss","Modest fashion’s global turn","2026-05-17","10419","fdd11855d3e1bc68924ce92ffa25605a49afca86ced71a63fe744ec9ec18f951","","rss_then_article_extract","D:\cursor\LEONCODE\CRAWL WEB\leon_web_intel\data\raw\html\aljazeera_com_0d30737143b3346b_20260517T085029Z.html","2026-05-17 12:50:29.353850","10.0"
